lat_deg,f00_off_log2,f00_on_log2,f00_off_dev,f00_on_dev,f32_off_log2,f32_on_log2,f32_off_dev,f32_on_dev,f64_off_log2,f64_on_log2,f64_off_dev,f64_on_dev
-0.483,-3.10958,-3.12678,0.12482,0.11642,-3.11104,-3.13385,0.13740,0.11594,-3.11209,-3.13290,0.12629,0.12164
-0.571,-3.11469,-3.13159,0.12062,0.11251,-3.11291,-3.13504,0.13640,0.11563,-3.11349,-3.13374,0.12579,0.12167
-0.659,-3.11778,-3.13436,0.11843,0.11065,-3.11378,-3.13522,0.13640,0.11633,-3.11336,-3.13303,0.12682,0.12324
-0.747,-3.11531,-3.13154,0.12182,0.11438,-3.11605,-3.13681,0.13500,0.11561,-3.11289,-3.13201,0.12820,0.12513
-0.835,-3.11070,-3.12638,0.12734,0.12044,-3.11937,-3.13916,0.13256,0.11414,-3.11387,-3.13239,0.12813,0.12563
-0.923,-3.10758,-3.12278,0.13137,0.12495,-3.12011,-3.13896,0.13270,0.11521,-3.11486,-3.13285,0.12805,0.12604
-1.011,-3.10796,-3.12277,0.13191,0.12588,-3.12269,-3.14069,0.13100,0.11436,-3.11556,-3.13311,0.12827,0.12665
-1.099,-3.10956,-3.12405,0.13123,0.12551,-3.12294,-3.14013,0.13162,0.11579,-3.11576,-3.13298,0.12898,0.12766
-1.187,-3.10751,-3.12173,0.13420,0.12875,-3.12131,-3.13774,0.13413,0.11906,-3.11906,-3.13604,0.12659,0.12546
-1.274,-3.10610,-3.12015,0.13653,0.13124,-3.11995,-3.13575,0.13637,0.12194,-3.12099,-3.13777,0.12559,0.12461
-1.362,-3.10914,-3.12317,0.13441,0.12913,-3.11838,-3.13370,0.13883,0.12487,-3.12328,-3.13990,0.12422,0.12336
-1.450,-3.11863,-3.13274,0.12585,0.12049,-3.11715,-3.13204,0.14094,0.12741,-3.12632,-3.14281,0.12210,0.12133
-1.538,-3.12456,-3.13868,0.12084,0.11547,-3.11619,-3.13061,0.14279,0.12973,-3.12807,-3.14437,0.12127,0.12065
-1.626,-3.12355,-3.13747,0.12278,0.11760,-3.11804,-3.13185,0.14183,0.12937,-3.12750,-3.14339,0.12277,0.12251
-1.714,-3.12014,-3.13383,0.12713,0.12216,-3.12039,-3.13361,0.14037,0.12851,-3.12851,-3.14400,0.12269,0.12278
-1.802,-3.11800,-3.13135,0.13020,0.12556,-3.12391,-3.13650,0.13774,0.12650,-3.13020,-3.14504,0.12192,0.12262
-1.890,-3.11866,-3.13165,0.13048,0.12619,-3.12960,-3.14158,0.13294,0.12232,-3.13174,-3.14582,0.12131,0.12273
-1.978,-3.11957,-3.13220,0.13050,0.12655,-3.13337,-3.14472,0.13007,0.12007,-3.13390,-3.14721,0.12008,0.12222
-2.065,-3.12397,-3.13628,0.12704,0.12341,-3.13617,-3.14689,0.12816,0.11879,-3.13286,-3.14538,0.12206,0.12494
-2.153,-3.13123,-3.14325,0.12072,0.11737,-3.14030,-3.15040,0.12494,0.11617,-3.13086,-3.14257,0.12500,0.12864
-2.241,-3.13176,-3.14339,0.12113,0.11815,-3.14441,-3.15387,0.12172,0.11359,-3.13190,-3.14282,0.12489,0.12927
-2.329,-3.12745,-3.13820,0.12638,0.12427,-3.14710,-3.15555,0.11993,0.11281,-3.13647,-3.14638,0.12126,0.12660
-2.417,-3.12774,-3.13762,0.12704,0.12579,-3.14703,-3.15443,0.12090,0.11483,-3.14151,-3.15041,0.11716,0.12347
-2.505,-3.13334,-3.14240,0.12239,0.12194,-3.14689,-3.15323,0.12194,0.11693,-3.14593,-3.15380,0.11368,0.12097
-2.593,-3.13688,-3.14511,0.11979,0.12016,-3.14915,-3.15452,0.12059,0.11654,-3.14894,-3.15583,0.11161,0.11983
-2.681,-3.13599,-3.14336,0.12163,0.12284,-3.15454,-3.15899,0.11610,0.11296,-3.15150,-3.15743,0.11001,0.11912
-2.769,-3.13705,-3.14351,0.12153,0.12363,-3.15945,-3.16295,0.11210,0.10990,-3.15245,-3.15746,0.11001,0.11999
-2.856,-3.14135,-3.14679,0.11818,0.12129,-3.15976,-3.16225,0.11270,0.11151,-3.15787,-3.16213,0.10553,0.11621
-2.944,-3.14374,-3.14814,0.11675,0.12088,-3.15724,-3.15868,0.11613,0.11598,-3.16066,-3.16413,0.10370,0.11511
-3.032,-3.14422,-3.14756,0.11722,0.12240,-3.15188,-3.15226,0.12240,0.12331,-3.16032,-3.16298,0.10499,0.11715
-3.120,-3.14776,-3.15006,0.11464,0.12084,-3.15215,-3.15151,0.12304,0.12496,-3.16375,-3.16564,0.10252,0.11540
-3.208,-3.15167,-3.15293,0.11169,0.11891,-3.15383,-3.15219,0.12228,0.12520,-3.16465,-3.16574,0.10257,0.11620
-3.296,-3.15488,-3.15539,0.10945,0.11740,-3.15829,-3.15580,0.11874,0.12249,-3.16340,-3.16377,0.10477,0.11907
-3.384,-3.15757,-3.15752,0.10771,0.11621,-3.16301,-3.15977,0.11493,0.11943,-3.16330,-3.16302,0.10583,0.12072
-3.472,-3.16074,-3.16012,0.10551,0.11456,-3.16555,-3.16154,0.11331,0.11858,-3.16484,-3.16393,0.10526,0.12071
-3.560,-3.16140,-3.16026,0.10582,0.11537,-3.16640,-3.16169,0.11339,0.11934,-3.17181,-3.17041,0.09925,0.11513
-3.647,-3.16399,-3.16258,0.10420,0.11400,-3.16998,-3.16491,0.11072,0.11703,-3.18068,-3.17915,0.09135,0.10730
-3.735,-3.16741,-3.16573,0.10175,0.11179,-3.17699,-3.17158,0.10464,0.11127,-3.18569,-3.18399,0.08731,0.10337
-3.823,-3.17230,-3.17054,0.09783,0.10794,-3.18305,-3.17750,0.09950,0.10627,-3.18681,-3.18468,0.08716,0.10359
-3.911,-3.17823,-3.17641,0.09288,0.10302,-3.18692,-3.18124,0.09656,0.10345,-3.18966,-3.18708,0.08528,0.10209
-3.999,-3.18184,-3.17994,0.09025,0.10044,-3.18675,-3.18091,0.09765,0.10470,-3.19764,-3.19465,0.07827,0.09543
-4.087,-3.18358,-3.18160,0.08949,0.09974,-3.18642,-3.18042,0.09891,0.10610,-3.20272,-3.19930,0.07416,0.09169
-4.175,-3.18171,-3.17961,0.09234,0.10268,-3.18801,-3.18187,0.09826,0.10558,-3.20293,-3.19903,0.07493,0.09288
-4.263,-3.18083,-3.17858,0.09420,0.10467,-3.19216,-3.18595,0.09504,0.10242,-3.19764,-3.19319,0.08120,0.09963
-4.351,-3.18332,-3.18078,0.09269,0.10343,-3.19802,-3.19193,0.09011,0.09736,-3.19346,-3.18843,0.08636,0.10530
-4.438,-3.18805,-3.18524,0.08894,0.09992,-3.20313,-3.19715,0.08594,0.09306,-3.19350,-3.18794,0.08729,0.10670
-4.526,-3.19293,-3.18985,0.08506,0.09628,-3.20921,-3.20336,0.08080,0.08778,-3.19725,-3.19119,0.08453,0.10436
-4.614,-3.19797,-3.19486,0.08101,0.09223,-3.21192,-3.20644,0.07902,0.08563,-3.20211,-3.19585,0.08066,0.10063
-4.702,-3.20360,-3.20058,0.07636,0.08747,-3.21340,-3.20840,0.07848,0.08460,-3.20427,-3.19792,0.07949,0.09947
-4.790,-3.20510,-3.20218,0.07586,0.08684,-3.21530,-3.21073,0.07752,0.08320,-3.20695,-3.20064,0.07780,0.09767
-4.878,-3.20392,-3.20111,0.07803,0.08887,-3.21436,-3.21014,0.07940,0.08471,-3.21105,-3.20490,0.07468,0.09433
-4.966,-3.20501,-3.20233,0.07794,0.08863,-3.21645,-3.21261,0.07826,0.08317,-3.21652,-3.21054,0.07020,0.08962
-5.054,-3.21100,-3.20849,0.07295,0.08343,-3.21984,-3.21641,0.07582,0.08031,-3.21978,-3.21393,0.06793,0.08715
-5.142,-3.21930,-3.21698,0.06564,0.07591,-3.22206,-3.21904,0.07454,0.07861,-3.22138,-3.21565,0.06734,0.08635
-5.229,-3.22491,-3.22275,0.06104,0.07111,-3.22593,-3.22334,0.07161,0.07524,-3.22301,-3.21742,0.06670,0.08550
-5.317,-3.22945,-3.22776,0.05750,0.06708,-3.22960,-3.22738,0.06890,0.07214,-3.22488,-3.21957,0.06583,0.08428
-5.405,-3.23143,-3.23021,0.05653,0.06559,-3.22938,-3.22747,0.07008,0.07299,-3.22656,-3.22155,0.06516,0.08323
-5.493,-3.22843,-3.22765,0.06053,0.06913,-3.22753,-3.22592,0.07288,0.07548,-3.22824,-3.22353,0.06448,0.08217
